                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.40067,                0.40186,                0.07229,                0.83673,                 0.9161,                0.91504,                0.58921,                0.46463,                0.46449,                0.11025,             0.00022918,             0.00022918,             0.00022918
                     59,                0.39469,                0.40037,                0.07357,                0.87153,                0.85886,                0.91275,                0.58788,                0.46326,                0.46235,                 0.1106,             0.00022397,             0.00022397,             0.00022397
                     60,                0.39338,                0.40091,                0.07495,                0.85184,                0.89973,                0.91293,                0.58606,                0.45859,                0.45455,                0.10806,             0.00021876,             0.00021876,             0.00021876
                     61,                0.40007,                0.40387,                0.07558,                0.82115,                 0.8903,                0.89692,                0.56716,                0.46085,                0.45898,                0.11005,             0.00021356,             0.00021356,             0.00021356
                     62,                0.40018,                0.40604,                 0.0733,                0.86474,                0.87887,                0.90761,                0.58089,                0.45615,                0.46511,                0.10845,             0.00020835,             0.00020835,             0.00020835
                     63,                0.39767,                0.39815,                0.07322,                0.85237,                0.88216,                0.90965,                0.58071,                0.45349,                0.45954,                0.10704,             0.00020314,             0.00020314,             0.00020314
                     64,                0.40026,                0.40018,                0.07268,                0.86448,                 0.8901,                0.90714,                0.57732,                0.45385,                0.45282,                0.10675,             0.00019793,             0.00019793,             0.00019793
                     65,                 0.3866,                0.39493,                0.07241,                0.84932,                0.88943,                0.90987,                0.58098,                0.46375,                0.45678,                0.11206,             0.00019273,             0.00019273,             0.00019273
                     66,                0.40062,                 0.3969,                0.07284,                0.88447,                 0.8698,                0.91448,                0.58909,                0.45092,                0.45259,                0.10731,             0.00018752,             0.00018752,             0.00018752
                     67,                0.38873,                0.39428,                0.06959,                0.83277,                0.92211,                0.91086,                0.59071,                0.45876,                0.46133,                 0.1069,             0.00018231,             0.00018231,             0.00018231
                     68,                0.38664,                0.39299,                0.07001,                0.84766,                0.88674,                 0.9101,                0.59126,                0.45298,                 0.4637,                0.10634,              0.0001771,              0.0001771,              0.0001771
                     69,                 0.3926,                0.39532,                0.07026,                0.88869,                0.88277,                0.91474,                0.58736,                0.45357,                 0.4519,                0.10595,              0.0001719,              0.0001719,              0.0001719
                     70,                0.38764,                0.39225,                0.07156,                0.87246,                0.89305,                0.91415,                0.59119,                0.45326,                0.46055,                0.10692,             0.00016669,             0.00016669,             0.00016669
                     71,                0.38183,                0.39192,                0.07158,                0.85766,                0.86734,                0.90552,                0.58543,                0.45556,                0.46289,                0.10828,             0.00016148,             0.00016148,             0.00016148
                     72,                0.37644,                0.38901,                0.07106,                0.86697,                0.87916,                0.90509,                0.57321,                 0.4549,                0.46082,                0.10816,             0.00015627,             0.00015627,             0.00015627
                     73,                0.38362,                0.39149,                0.06869,                0.88659,                0.87541,                 0.9125,                 0.5813,                0.45105,                0.45608,                0.10833,             0.00015107,             0.00015107,             0.00015107
                     74,                0.37785,                0.39105,                0.06901,                0.87412,                0.87932,                0.90266,                0.57932,                0.44836,                 0.4612,                0.10679,             0.00014586,             0.00014586,             0.00014586
                     75,                0.37823,                0.38757,                0.06888,                0.85199,                0.89524,                0.90462,                0.57393,                0.45209,                0.45786,                0.10754,             0.00014065,             0.00014065,             0.00014065
                     76,                0.37686,                0.38474,                0.06648,                0.86036,                0.90124,                0.90622,                0.58055,                0.44667,                0.46094,                0.10622,             0.00013544,             0.00013544,             0.00013544
                     77,                0.37815,                0.38623,                0.06566,                0.86533,                0.89729,                0.90944,                0.58067,                  0.448,                0.46503,                 0.1061,             0.00013024,             0.00013024,             0.00013024
                     78,                0.37344,                0.38538,                0.06782,                 0.8722,                0.88463,                0.91338,                0.57883,                0.44699,                0.46084,                0.10541,             0.00012503,             0.00012503,             0.00012503
                     79,                0.37377,                0.38488,                0.07029,                0.84488,                0.89591,                0.91052,                0.57507,                0.45095,                0.47104,                0.10633,             0.00011982,             0.00011982,             0.00011982
                     80,                0.36857,                0.38367,                 0.0698,                0.86145,                0.89224,                0.90538,                0.58234,                0.44428,                0.46466,                0.10483,             0.00011462,             0.00011462,             0.00011462
                     81,                0.36507,                0.38347,                0.06707,                0.84759,                0.90364,                0.90663,                 0.5824,                 0.4461,                 0.4654,                0.10456,             0.00010941,             0.00010941,             0.00010941
                     82,                 0.3694,                 0.3809,                0.06655,                0.86089,                0.88742,                0.90521,                0.57535,                0.45114,                0.46195,                0.10634,              0.0001042,              0.0001042,              0.0001042
