                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 2.6808,                  1.646,                 2.0076,                0.71582,                 0.7278,                0.76477,                 0.4594,                  2.856,                 1.6066,                 2.0892,             0.00032291,             0.00032291,             0.00032291
                     41,                 2.6887,                 1.6566,                 2.0068,                0.74178,                0.70744,                0.76883,                0.46031,                 2.8419,                 1.5745,                  2.072,              0.0003177,              0.0003177,              0.0003177
                     42,                 2.6799,                 1.6465,                 2.0027,                0.77677,                0.67842,                0.75423,                0.47503,                 2.8345,                 1.5365,                 2.0795,              0.0003125,              0.0003125,              0.0003125
                     43,                  2.676,                 1.6387,                  1.996,                0.80875,                0.63975,                0.75902,                0.45808,                 2.8355,                 1.5394,                 2.0721,             0.00030729,             0.00030729,             0.00030729
                     44,                 2.6822,                 1.6161,                 2.0115,                0.73147,                0.76083,                 0.7804,                0.46692,                 2.8271,                 1.5263,                 2.0751,             0.00030208,             0.00030208,             0.00030208
                     45,                 2.6531,                 1.5877,                 2.0016,                0.74897,                0.73861,                0.79125,                0.48478,                 2.8342,                 1.4939,                 2.0604,             0.00029687,             0.00029687,             0.00029687
                     46,                 2.6454,                 1.5925,                 1.9921,                 0.7604,                0.71168,                0.76428,                0.48333,                 2.7884,                 1.4854,                 2.0419,             0.00029167,             0.00029167,             0.00029167
                     47,                 2.6291,                 1.5738,                 1.9988,                0.74631,                0.74494,                0.78295,                0.48232,                 2.8393,                  1.511,                 2.0686,             0.00028646,             0.00028646,             0.00028646
                     48,                 2.6521,                 1.5698,                 1.9832,                0.72198,                0.72841,                0.76895,                0.46969,                 2.8815,                 1.5056,                 2.0882,             0.00028125,             0.00028125,             0.00028125
                     49,                 2.6264,                 1.5622,                 1.9947,                0.73439,                0.74384,                0.77011,                 0.4712,                 2.8235,                 1.4772,                 2.0961,             0.00027604,             0.00027604,             0.00027604
                     50,                 2.6531,                 1.5545,                 2.0012,                0.78425,                0.71364,                0.78945,                0.48202,                 2.8209,                 1.4863,                 2.0665,             0.00027084,             0.00027084,             0.00027084
                     51,                 2.6137,                  1.526,                 1.9792,                0.70795,                0.74466,                0.77228,                0.47509,                 2.8101,                 1.4543,                 2.0655,             0.00026563,             0.00026563,             0.00026563
                     52,                 2.5737,                 1.5297,                 1.9751,                0.68828,                0.76169,                0.78195,                0.48395,                 2.8217,                 1.4859,                 2.0639,             0.00026042,             0.00026042,             0.00026042
                     53,                 2.6038,                 1.5259,                 1.9852,                0.70255,                  0.752,                0.77449,                0.48173,                 2.7829,                 1.4564,                 2.0755,             0.00025522,             0.00025522,             0.00025522
                     54,                 2.5852,                 1.5123,                 1.9766,                0.71643,                 0.7677,                 0.7914,                0.48446,                 2.7985,                 1.4573,                 2.0821,             0.00025001,             0.00025001,             0.00025001
                     55,                 2.5851,                 1.5108,                 1.9717,                0.71588,                0.73695,                0.77514,                0.47241,                 2.7616,                 1.4648,                 2.0531,              0.0002448,              0.0002448,              0.0002448
                     56,                 2.5581,                 1.4931,                 1.9683,                0.80891,                 0.7331,                0.79595,                 0.4797,                 2.8382,                 1.4601,                 2.0768,             0.00023959,             0.00023959,             0.00023959
                     57,                 2.5903,                 1.4953,                 1.9588,                0.78275,                0.73346,                0.79437,                0.49443,                 2.7978,                 1.4531,                 2.0653,             0.00023439,             0.00023439,             0.00023439
                     58,                 2.5503,                 1.4688,                 1.9542,                0.77983,                0.73755,                0.81101,                0.49361,                 2.8088,                 1.4568,                 2.0691,             0.00022918,             0.00022918,             0.00022918
                     59,                 2.5162,                 1.4419,                 1.9583,                0.75147,                0.71276,                0.78339,                0.48255,                 2.7832,                 1.4438,                 2.0523,             0.00022397,             0.00022397,             0.00022397
                     60,                 2.5283,                 1.4564,                 1.9533,                0.75107,                0.74648,                0.78974,                0.47991,                  2.811,                 1.4653,                 2.0901,             0.00021876,             0.00021876,             0.00021876
                     61,                 2.5249,                 1.4477,                 1.9571,                 0.7472,                0.74839,                0.78918,                0.49031,                 2.8232,                 1.4757,                 2.0843,             0.00021356,             0.00021356,             0.00021356
