                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                   2.11,                0.93273,                 1.9316,                0.84279,                0.83084,                0.88473,                0.57675,                  2.759,                 1.2714,                  2.311,             0.00020835,             0.00020835,             0.00020835
                     63,                  2.074,                0.91214,                 1.9184,                0.83243,                0.84202,                0.88072,                0.57596,                 2.7756,                 1.1896,                 2.3212,             0.00020314,             0.00020314,             0.00020314
                     64,                 2.0843,                0.92342,                 1.9203,                0.85384,                 0.8402,                0.88557,                0.58274,                 2.6766,                 1.1905,                 2.2658,             0.00019793,             0.00019793,             0.00019793
                     65,                 2.0288,                0.89416,                 1.9199,                0.84219,                0.84093,                0.88547,                0.58365,                 2.6748,                 1.1491,                 2.2676,             0.00019273,             0.00019273,             0.00019273
                     66,                 2.0611,                0.90982,                 1.9171,                0.82631,                0.84937,                0.87818,                0.56793,                 2.7283,                 1.2028,                 2.2977,             0.00018752,             0.00018752,             0.00018752
                     67,                 2.0265,                0.90026,                 1.9066,                0.81949,                0.86005,                0.87225,                0.56928,                 2.7104,                 1.1869,                 2.2995,             0.00018231,             0.00018231,             0.00018231
                     68,                 2.0201,                0.88926,                 1.9075,                0.87007,                0.84873,                0.88009,                 0.5707,                 2.6994,                 1.1816,                 2.2795,              0.0001771,              0.0001771,              0.0001771
                     69,                  2.022,                0.88768,                 1.8974,                0.82852,                0.85523,                0.88139,                0.57586,                 2.6889,                 1.2108,                 2.2715,              0.0001719,              0.0001719,              0.0001719
                     70,                 2.0076,                0.88165,                 1.9029,                0.84287,                0.83404,                0.87296,                0.57132,                 2.6959,                 1.1724,                 2.2688,             0.00016669,             0.00016669,             0.00016669
                     71,                 1.9941,                0.87525,                 1.9118,                0.82723,                0.88531,                0.88691,                0.57227,                 2.7186,                 1.1672,                 2.2821,             0.00016148,             0.00016148,             0.00016148
                     72,                  1.974,                0.85755,                 1.9052,                0.82632,                0.86042,                0.88267,                0.57569,                 2.6775,                 1.1706,                 2.2766,             0.00015627,             0.00015627,             0.00015627
                     73,                 1.9718,                0.86118,                 1.8891,                0.83086,                0.83189,                0.85955,                 0.5627,                 2.6572,                 1.1929,                 2.2622,             0.00015107,             0.00015107,             0.00015107
                     74,                 1.9389,                0.86613,                 1.8784,                0.84348,                0.81984,                0.87736,                0.57651,                 2.6588,                 1.1664,                 2.2563,             0.00014586,             0.00014586,             0.00014586
                     75,                 1.9461,                0.85532,                 1.8803,                0.86121,                0.84754,                0.88569,                0.58006,                 2.6323,                  1.131,                  2.266,             0.00014065,             0.00014065,             0.00014065
                     76,                 1.9301,                0.83831,                  1.859,                0.79964,                  0.865,                 0.8689,                0.57044,                 2.6504,                 1.1822,                 2.2466,             0.00013544,             0.00013544,             0.00013544
                     77,                 1.9165,                0.83225,                 1.8579,                0.80626,                0.87066,                0.88112,                0.57626,                 2.6497,                 1.1564,                 2.2451,             0.00013024,             0.00013024,             0.00013024
                     78,                 1.9093,                0.82945,                 1.8689,                0.83443,                0.83007,                0.86848,                0.57537,                 2.6751,                 1.2002,                 2.2661,             0.00012503,             0.00012503,             0.00012503
                     79,                 1.9026,                0.82922,                 1.8777,                0.81573,                0.84408,                0.87745,                0.58138,                 2.6833,                 1.2163,                 2.2713,             0.00011982,             0.00011982,             0.00011982
                     80,                  1.873,                0.81309,                 1.8697,                0.83922,                0.83164,                0.87964,                0.58398,                 2.6695,                 1.2158,                  2.271,             0.00011462,             0.00011462,             0.00011462
                     81,                 1.8539,                0.80876,                 1.8564,                0.83144,                0.87013,                 0.8839,                0.58478,                 2.6635,                 1.1494,                 2.2509,             0.00010941,             0.00010941,             0.00010941
                     82,                 1.8614,                0.80922,                 1.8553,                0.85217,                0.82652,                0.87801,                0.57651,                 2.6671,                 1.1752,                  2.272,              0.0001042,              0.0001042,              0.0001042
                     83,                 1.8587,                0.79617,                   1.84,                0.83631,                0.83403,                0.87811,                0.57947,                 2.6602,                 1.1999,                  2.271,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                 1.8462,                0.80601,                 1.8476,                0.86091,                0.80676,                0.88117,                 0.5842,                 2.6538,                 1.1913,                 2.2583,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                 1.8268,                0.79811,                 1.8403,                0.87102,                 0.8028,                0.88388,                0.58729,                  2.631,                 1.1545,                 2.2671,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                 1.8021,                0.78153,                 1.8397,                0.77912,                0.87226,                0.88014,                 0.5823,                 2.6486,                  1.169,                  2.258,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                 1.7949,                0.77948,                 1.8331,                0.81317,                0.87406,                0.88691,                0.58897,                 2.6568,                 1.1714,                 2.2571,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                 1.7972,                 0.7773,                 1.8333,                0.82163,                0.85133,                0.87604,                0.58525,                 2.6806,                 1.1965,                 2.2843,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                 1.7906,                0.77868,                  1.829,                0.85624,                0.86696,                0.89205,                0.58617,                 2.6814,                 1.1953,                 2.2909,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                 1.7593,                0.76011,                 1.8368,                0.83071,                0.87467,                0.89164,                0.58943,                 2.6493,                 1.1789,                 2.2652,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                 1.7442,                0.72413,                 1.8196,                0.84254,                0.85827,                0.88722,                0.57819,                 2.6663,                 1.1957,                 2.2794,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                 1.7053,                0.69627,                 1.8048,                0.82278,                0.86948,                0.88162,                0.58029,                 2.6511,                 1.2153,                 2.2639,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                 1.6916,                0.69068,                 1.8057,                0.85623,                0.83779,                0.88456,                0.58233,                 2.6421,                 1.1988,                 2.2553,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                 1.6736,                0.68091,                 1.7991,                0.82376,                0.87093,                0.88624,                0.58674,                 2.6595,                 1.2123,                 2.2892,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                 1.6804,                0.68745,                 1.7944,                0.81791,                0.87077,                 0.8817,                0.58257,                 2.6406,                 1.2192,                  2.288,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                 1.6448,                0.67036,                 1.7888,                0.83697,                0.84812,                0.89044,                0.58815,                 2.6431,                  1.216,                 2.2908,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                  1.652,                 0.6683,                 1.8067,                0.86319,                0.84563,                0.89077,                0.58735,                 2.6519,                  1.202,                 2.3012,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                 1.6506,                0.67855,                 1.7879,                0.85665,                0.84687,                0.88881,                0.58783,                 2.6612,                  1.211,                 2.3052,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                 1.6237,                0.66048,                 1.7825,                0.85555,                0.86104,                0.89042,                0.58847,                  2.664,                 1.2082,                 2.3127,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                 1.6146,                0.65473,                 1.7832,                0.86239,                0.84907,                0.89205,                0.58912,                 2.6649,                 1.2123,                 2.3142,             1.0467e-05,             1.0467e-05,             1.0467e-05
